PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Askne, JIH; Soja, MJ; Ulander, LMH				Askne, Jan I. H.; Soja, Maciej J.; Ulander, Lars M. H.			Biomass estimation in a boreal forest from TanDEM-X data, lidar DTM, and the interferometric water cloud model	REMOTE SENSING OF ENVIRONMENT												The semi-empirical Interferometric Water Cloud Model, IWCM, is used to estimate above ground forest biomass, AGB, in northern Sweden, Krycklan (64 degrees N 20 degrees E). The results are based on separate analysis of 14 TanDEM-X ac-quisitions from 2011 to 2014 and a Lidar digital terrain model (DTM). 29 stands covering 272 ha and with AGB < 183 Mg/ha, and 619 stands with area > 1 ha covering 3166 ha and with AGB < 291Mg/ ha have been analyzed. In situ and airborne lidar scanning, ALS, data from the BioSAR 2008 experiment are used as reference. AGB and forest height are estimated using a new optimization method for determining IWCM parameters. Allometric equations are used to describe the inter-dependency between forest height, biomass, area-fill factor, and stem volume. No local training data from the investigated area are used to determine model parameters. For the 29 stands, the relative RMSE for biomass estimated using the proposed method varied between 15.8% and 21.2% (r(2) between 0.82 and 0.88) and between 9.9% and 16.0% for height (r(2) between 0.84 and 0.89). Dependence of model parameters on temperature and precipitation as well as height of ambiguity are investigated. A method based on look-up table for biomass estimation from phase height is proposed. The method is used over an area of 68 km(2) for one TanDEM-X acquisition from 2011-06-04 and the results are compared with an ALS biomass map from August 2008. Good agreement is observed, as well as high potential for clear-cut detection. (C) 2017 The Authors. Published by Elsevier Inc.					; Soja, Maciej/AAU-8079-2020; Ulander, Lars/LLK-2518-2024	Askne, Jan/0000-0002-7860-5419; Ulander, Lars M H/0000-0001-5757-9517													0034-4257	1879-0704				JUL	2017	196						265	278		10.1016/j.rse.2017.05.010	http://dx.doi.org/10.1016/j.rse.2017.05.010													WOS:000403443700020
J	Jiménez, E; Vega, JA; Fernández-Alonso, JM; Vega-Nieva, D; Ortiz, L; López-Serrano, PM; López-Sánchez, CA				Jimenez, Enrique; Vega, Jose A.; Fernandez-Alonso, Jose M.; Vega-Nieva, Daniel; Ortiz, Luis; Lopez-Serrano, Pablito M.; López-Sánchez, Carlos A.			Estimation of aboveground forest biomass in Galicia (NW Spain) by the combined use of LiDAR, LANDSAT ETM plus and National Forest Inventory data	IFOREST-BIOGEOSCIENCES AND FORESTRY												Assessing biomass is critical for accounting bioenergy potentials and monitoring forest ecosystem responses to global change and disturbances. Remote sensing, especially Light Detection and Ranging (LiDAR) data combined with field data, is being increasingly used for forest inventory purposes. We evaluated the feasibility of the combined use of freely available data, both remote sensing (LiDAR data provided by the Spanish National Plan for Aerial Ortophotography - PNOA - and Landsat vegetation spectral indices) and field data (from the National Forest Inventory) to estimate stand dendrometric and above-ground biomass variables of the most productive tree species in a pilot area in Galicia (northwestern Spain). The results suggest that the models can accurately predict dendrometric and biomass variables at plot level with an R-2 ranging from 0.49 to 0.65 for basal area, from 0.65 to 0.95 for dominant height, from 0.48 to 0.68 for crown biomass and from 0.55 to 0.82 for stem biomass. Our results support the use of this approach to reduce the cost of forest inventories and provide a useful tool for stakeholders to map forest stand variables and biomass stocks.					López-Sánchez, Carlos/K-6486-2016; López-Sánchez, Carlos A/K-6486-2016	Vega-Nieva, Daniel Jose/0000-0002-1463-6523; Vega Hidalgo, José Antonio/0000-0003-3720-0965; Fernández-Alonso, José M/0000-0003-1973-8606; López Serrano, Pablito Marcelo/0000-0003-0640-0606; López-Sánchez, Carlos A/0000-0002-5135-5739													1971-7458					JUN	2017	10						590	596		10.3832/ifor1989-010	http://dx.doi.org/10.3832/ifor1989-010													WOS:000402287000001
J	Laurin, GV; Pirotti, F; Callegari, M; Chen, Q; Cuozzo, G; Lingua, E; Notarnicola, C; Papale, D				Laurin, Gaia Vaglio; Pirotti, Francesco; Callegari, Mattia; Chen, Qi; Cuozzo, Giovanni; Lingua, Emanuele; Notarnicola, Claudia; Papale, Dario			Potential of ALOS2 and NDVI to Estimate Forest Above-Ground Biomass, and Comparison with Lidar-Derived Estimates	REMOTE SENSING												Remote sensing supports carbon estimation, allowing the upscaling of field measurements to large extents. Lidar is considered the premier instrument to estimate above ground biomass, but data are expensive and collected on-demand, with limited spatial and temporal coverage. The previous JERS and ALOS SAR satellites data were extensively employed to model forest biomass, with literature suggesting signal saturation at low-moderate biomass values, and an influence of plot size on estimates accuracy. The ALOS2 continuity mission since May 2014 produces data with improved features with respect to the former ALOS, such as increased spatial resolution and reduced revisit time. We used ALOS2 backscatter data, testing also the integration with additional features (SAR textures and NDVI from Landsat 8 data) together with ground truth, to model and map above ground biomass in two mixed forest sites: Tahoe (California) and Asiago (Alps). While texture was useful to improve the model performance, the best model was obtained using joined SAR and NDVI (R-2 equal to 0.66). In this model, only a slight saturation was observed, at higher levels than what usually reported in literature for SAR; the trend requires further investigation but the model confirmed the complementarity of optical and SAR datatypes. For comparison purposes, we also generated a biomass map for Asiago using lidar data, and considered a previous lidar-based study for Tahoe; in these areas, the observed R-2 were 0.92 for Tahoe and 0.75 for Asiago, respectively. The quantitative comparison of the carbon stocks obtained with the two methods allows discussion of sensor suitability. The range of local variation captured by lidar is higher than those by SAR and NDVI, with the latter showing overestimation. However, this overestimation is very limited for one of the study areas, suggesting that when the purpose is the overall quantification of the stored carbon, especially in areas with high carbon density, satellite data with lower cost and broad coverage can be as effective as lidar.					Lingua, Emanuele/B-2941-2008; Papale, Dario/W-7302-2019; Chen, Qi/N-7930-2016; Pirotti, Francesco/C-4906-2018	Lingua, Emanuele/0000-0001-9515-7657; Cuozzo, Giovanni/0000-0001-9120-7426; Chen, Qi/0000-0003-0110-7996; Notarnicola, Claudia/0000-0003-1968-0125; Pirotti, Francesco/0000-0002-4796-6406; VAGLIO LAURIN, Gaia/0000-0002-6728-3557; Papale, Dario/0000-0001-5170-8648; Callegari, Mattia/0000-0003-1520-1975													2072-4292					JAN	2017	9	1							18	10.3390/rs9010018	http://dx.doi.org/10.3390/rs9010018													WOS:000395492600018
J	Francini, S; Borghi, C; D'Amico, G; Waser, LT; Lisiewicz, M; Sterenczak, K; Schelhaas, MJ; Pellett, C; Gobakken, T; Næsset, E; Magnani, F; De-Miguel, S; Nabuurs, GJ; Valbuena, R; Chirici, G				Francini, Saverio; Borghi, Costanza; D'Amico, Giovanni; Waser, Lars T.; Lisiewicz, Maciej; Sterenczak, Krzysztof; Schelhaas, Mart-Jan; Pellett, Cameron; Gobakken, Terje; Naesset, Erik; Magnani, Federico; De-Miguel, Sergio; Nabuurs, Gert-Jan; Valbuena, Ruben; Chirici, Gherardo			Bridging spatio-temporal gaps in ALS data using Landsat time series and forest disturbance-recovery metrics via multi-task neural networks	SCIENCE OF REMOTE SENSING												European forests contribute to climate change mitigation by sequestering carbon, conserving biodiversity, and enhancing water retention. However, climate-induced disturbances such as fires, windthrows, droughts, and pest outbreaks underscore the need for stronger forest monitoring systems. National Forest Inventories (NFIs) serve as the primary source of forest data and information in Europe. Yet, inconsistencies in timing, coverage, methodologies, and data quality highlight the need for a more harmonized and spatially detailed approach. Critically, predicting forest variables directly from satellite data remains challenging, mainly due to the difficulties in aligning remote sensing with ground data. Meanwhile, the operational use of airborne laser scanning (ALS) data is limited by high costs, infrequent updates, and inconsistent coverage from different sensors and flight conditions. This study presents a novel approach relying on fully connected neural networks to integrate Landsat satellite time series and forest disturbance and recovery metrics with ALS data to predict forest height metrics, which can then be used to accurately predict critical forest variables, such as growing stock volume (GSV) and stand basal area (BA). The method was tested across five ecologically and geographically diverse European forest regions: Tuscany (Italy), the Netherlands, the Canton of Grisons (Switzerland), Bia & lstrok;owiez(center dot)a Forest (Poland), and the Vindela<spacing diaeresis>lven-Juhttatahkka Biosphere Reserve (Sweden). ALS forest height metrics were predicted with R2 values ranging from 0.47 to 0.68. Then, based on field data, forest height metrics were used to predict GSV (R2 = 0.78) and BA (R2 = 0.69). Our method addresses the issue of limited spatial and temporal availability of ALS data by predicting ALSderived height metrics using Landsat time series. This study examines the challenges of combining satellite and NFI data, building on the premise that satellite data can be effectively used to predict forest height metrics derived from ALS, which in turn can be used to accurately quantify several forest variables. The methods presented here support scalable and cost-effective forest monitoring by providing the spatially and temporally detailed information needed to implement climate-smart forestry.					Lisiewicz, Maciej/Y-3668-2018; Schelhaas, Mart-Jan/I-4731-2012; Pellett, Cameron/GRF-4554-2022; de Miguel, Sergio/B-8358-2016; D'Amico, Giovanni/HGD-3376-2022; Waser, Lars/D-5937-2011; Nabuurs, Gert-Jan/D-8048-2015; Valbuena, Ruben/I-6127-2019														2666-0172					DEC	2025	12								100318	10.1016/j.srs.2025.100318	http://dx.doi.org/10.1016/j.srs.2025.100318		OCT 2025											WOS:001607157600001
J	Urbazaev, M; Cremer, F; Migliavacca, M; Reichstein, M; Schmullius, C; Thiel, C				Urbazaev, Mikhail; Cremer, Felix; Migliavacca, Mirco; Reichstein, Markus; Schmullius, Christiane; Thiel, Christian			Potential of Multi-Temporal ALOS-2 PALSAR-2 ScanSAR Data for Vegetation Height Estimation in Tropical Forests of Mexico	REMOTE SENSING												Information on the spatial distribution of forest structure parameters (e.g., aboveground biomass, vegetation height) are crucial for assessing terrestrial carbon stocks and emissions. In this study, we sought to assess the potential and merit of multi-temporal dual-polarised L-band observations for vegetation height estimation in tropical deciduous and evergreen forests of Mexico. We estimated vegetation height using dual-polarised L-band observations and a machine learning approach. We used airborne LiDAR-based vegetation height for model training and for result validation. We split LiDAR-based vegetation height into training and test data using two different approaches, i.e., considering and ignoring spatial autocorrelation between training and test data. Our results indicate that ignoring spatial autocorrelation leads to an overoptimistic model's predictive performance. Accordingly, a spatial splitting of the reference data should be preferred in order to provide realistic retrieval accuracies. Moreover, the model's predictive performance increases with an increasing number of spatial predictors and training samples, but saturates at a specific level (i.e., at 12 dual-polarised L-band backscatter measurements and at around 20% of all training samples). In consideration of spatial autocorrelation between training and test data, we determined an optimal number of L-band observations and training samples as a trade-off between retrieval accuracy and data collection effort. In summary, our study demonstrates the merit of multi-temporal ScanSAR L-band observations for estimation of vegetation height at a larger scale and provides a workflow for robust predictions of this parameter.					Reichstein, Markus/A-7494-2011; Migliavacca, Mirco/J-9986-2019; Thiel, Christian/AAU-8029-2021	Reichstein, Markus/0000-0001-5736-1112; Urbazaev, Mikhail/0000-0002-0327-6278; Migliavacca, Mirco/0000-0003-3546-8407; Cremer, Felix/0000-0001-8659-4361; 														2072-4292				AUG	2018	10	8							1277	10.3390/rs10081277	http://dx.doi.org/10.3390/rs10081277													WOS:000443618100113
J	Deo, RK; Russell, MB; Domke, GM; Andersen, HE; Cohen, WB; Woodall, CW				Deo, Ram K.; Russell, Matthew B.; Domke, Grant M.; Andersen, Hans-Erik; Cohen, Warren B.; Woodall, Christopher W.			Evaluating Site-Specific and Generic Spatial Models of Aboveground Forest Biomass Based on Landsat Time-Series and LiDAR Strip Samples in the Eastern USA	REMOTE SENSING												Large-area assessment of aboveground tree biomass (AGB) to inform regional or national forest monitoring programs can be efficiently carried out by combining remotely sensed data and field sample measurements through a generic statistical model, in contrast to site-specific models. We integrated forest inventory plot data with spatial predictors from Landsat time-series imagery and LiDAR strip samples at four sites across the eastern USAMinnesota (MN), Maine (ME), Pennsylvania-New Jersey (PANJ) and South Carolina (SC)in statistical modeling frameworks to analyze the performance of generic (all sites combined) versus site-specific models. The major objective was to evaluate the prediction accuracy of generic and site-specific models when applied to particular sites. Pixel-level polynomial model fitting was applied to the time-series of near-anniversary date Landsat variables to obtain projected metrics in the target year 2014 for which LiDAR strip samples were available. Two forms of models based on ordinary least-squares multiple linear regressions (MLR) and the random forest (RF) machine learning approach were developed for each site and for the pooled (i.e., generic) reference data frame. The models were evaluated using national forest inventory (NFI) data for the USA. We observed stronger fit statistics with the MLR than with RF for both the site-specific and the generic models. The proportions of variances explained (adjusted R-2) with the site-specific models were 0.86, 0.78, 0.82 and 0.92 for ME, MN, PANJ and SC, respectively while the generic model had adjusted R-2 = 0.85. A test of statistical equivalence of observed and predicted AGB for the NFI locations did not reveal equivalence with any of the models, possibly due to the different resolutions of the observed and predicted data. In contrast, predictions by the generic and site-specific models were equivalent. We conclude that a generic model provides accuracies comparable to the site-specific models for large-area AGB assessment across our study sites in the eastern USA.					Russell, Matthew/P-5078-2019; Woodall, Christopher/D-7757-2012	Woodall, Christopher/0000-0001-8076-6214; Russell, Matthew/0000-0002-7044-9650; Domke, Grant/0000-0003-0485-0355														2072-4292				JUN	2017	9	6							598	10.3390/rs9060598	http://dx.doi.org/10.3390/rs9060598													WOS:000404623900089
J	Goldbergs, G; Maier, SW; Levick, SR; Edwards, A				Goldbergs, Grigorijs; Maier, Stefan W.; Levick, Shaun R.; Edwards, Andrew			Limitations of high resolution satellite stereo imagery for estimating canopy Check for height in Australian tropical savannas	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												Obtaining reliable measures of tree canopy height across large areas is a central element of forest inventory and carbon accounting. Recent years have seen an increased emphasis on the use of active sensors like Radar and airborne LiDAR (light detection and scanning) systems to estimate various 3D characteristics of canopy and crown structure that can be used as predictors of biomass. However, airborne LiDAR data are expensive to acquire, and not often readily available across large remote landscapes. In this study, we evaluated the potential of stereo imagery from commercially available Very High Resolution (VHR) satellites as an alternative for estimating canopy height variables in Australian tropical savannas, using a semi-global dense matching (SGM) image-based technique. We assessed and compared the completeness and vertical accuracy of extracted canopy height models (CHMs) from GeoEye 1 and WorldView 1 VHR satellite stereo pairs and summarised the factors influencing image matching effectiveness and quality. Our results showed that stereo dense matching using the SGM technique severely underestimates tree presence and canopy height. The highest tree detection rates were achieved by using the near-infrared (NIR) band of GEl (8-9%). WV1-GE1 cross-satellite (mixed) models did not improve the quality of extracted canopy heights. We consider these poor detection rates and height retrievals to result from: i) the clumping crown structure of the dominant Eucalyptus spp.; ii) their vertically oriented leaves (affecting the bidirectional reflectance distribution function); iii) image band radiometry and iv) wind induced crown movement affecting stereo-pair point matching. Our detailed analyses suggest that current commercially available VHR satellite data (0.5 m resolution) are not well suited to estimating canopy height variables, and therefore above ground biomass (AGB), in Eucalyptus dominated north Australian tropical savanna woodlands.					Goldbergs, Grigorijs/L-8268-2019; Levick, Shaun/A-5853-2013; Maier, Stefan/A-5886-2013	Goldbergs, Grigorijs/0000-0001-5092-4963; Levick, Shaun/0000-0003-4437-9174; Maier, Stefan/0000-0001-6693-1973; Edwards, Anew/0000-0003-2823-4565													0303-2434					MAR	2019	75						83	95		10.1016/j.jag.2018.10.021	http://dx.doi.org/10.1016/j.jag.2018.10.021													WOS:000452814800007
J	Gu, CY; Clevers, JGPW; Liu, X; Tian, X; Li, ZY; Li, ZY				Gu, Chengyan; Clevers, Jan G. P. W.; Liu, Xiao; Tian, Xin; Li, Zhouyuan; Li, Zengyuan			Predicting forest height using the GOST, Landsat 7 ETM+, and airborne LiDAR for sloping terrains in the Greater Khingan Mountains of China	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING												Sloping terrain of forests is an overlooked factor in many models simulating the canopy bidirectional reflectance distribution function, which limits the estimation accuracy of forest vertical structure parameters (e.g., forest height). The primary objective of this study was to predict forest height on sloping terrain over large areas with the Geometric-Optical Model for Sloping Terrains (COST) using airborne Light Detection and Ranging (LiDAR) data and Landsat 7 imagery in the western Greater Khingan Mountains of China. The Sequential Maximum Angle Convex Cone (SMACC) algorithm was used to generate image end members and corresponding abundances in Landsat imagery. Then, LiDAR-derived forest metrics, topographical factors and SMACC abundances were used to calibrate and validate the COST, which aimed to accurately decompose the SMACC mixed forest pixels into sunlit crown, sunlit background and shade components. Finally, the forest height of the study area was retrieved based on a back-propagation neural network and a look-up table. Results showed good performance for coniferous forests on all slopes and at all aspects, with significant coefficients of determination above 0.70 and root mean square errors (RMSEs) between 0.50 m and 1.00 m based on ground observed validation data. Higher RMSEs were found in areas with forest heights below 5 m and above 17 m. For 90% of the forested area, the average RMSE was 3.58 m. Our study demonstrates the tremendous potential of the COST for quantitative mapping of forest height on sloping terrains with multispectral and LiDAR inputs. (C) 2018 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS). Published by Elsevier B.V. All rights reserved.					Clevers, Jan/N-1278-2014; Li, Joey/H-4226-2011; Xin, Tian/KFQ-2466-2024; Wang, JianLu/H-8661-2013; Li, Joey Zhouyuan/H-4226-2011	Clevers, Jan/0000-0002-0046-082X; Li, Joey Zhouyuan/0000-0003-2830-4076													0924-2716	1872-8235				MAR	2018	137						97	111		10.1016/j.isprsjprs.2018.01.005	http://dx.doi.org/10.1016/j.isprsjprs.2018.01.005													WOS:000427313700008
J	Alonzo, M; Morton, DC; Cook, BD; Andersen, HE; Babcock, C; Pattison, R				Alonzo, Michael; Morton, Douglas C.; Cook, Bruce D.; Andersen, Hans-Erik; Babcock, Chad; Pattison, Robert			Patterns of canopy and surface layer consumption in a boreal forest fire from repeat airborne lidar	ENVIRONMENTAL RESEARCH LETTERS												Fire in the boreal region is the dominant agent of forest disturbance with direct impacts on ecosystem structure, carbon cycling, and global climate. Global and biome-scale impacts are mediated by burn severity, measured as loss of forest canopy and consumption of the soil organic layer. To date, knowledge of the spatial variability in burn severity has been limited by sparse field sampling and moderate resolution satellite data. Here, we used pre- and post-fire airborne lidar data to directly estimate changes in canopy vertical structure and surface elevation for a 2005 boreal forest fire on Alaska's Kenai Peninsula. We found that both canopy and surface losses were strongly linked to pre-fire species composition and exhibited important fine-scale spatial variability at sub-30m resolution. The fractional reduction in canopy volume ranged from 0.61 in lowland black spruce stands to 0.27 in mixed white spruce and broadleaf forest. Residual structure largely reflects standing dead trees, highlighting the influence of pre-fire forest structure on delayed carbon losses from aboveground biomass, post-fire albedo, and variability in understory light environments. Median loss of surface elevation was highest in lowland black spruce stands (0.18 m) but much lower in mixed stands (0.02 m), consistent with differences in pre-fire organic layer accumulation. Spatially continuous depth-of-burn estimates from repeat lidar measurements provide novel information to constrain carbon emissions from the surface organic layer and may inform related research on post-fire successional trajectories. Spectral measures of burn severity from Landsat were correlated with canopy (r = 0.76) and surface (r = -0.71) removal in black spruce stands but captured less of the spatial variability in fire effects for mixed stands (canopy r = 0.56, surface r = -0.26), underscoring the difficulty in capturing fire effects in heterogeneous boreal forest landscapes using proxy measures of burn severity from Landsat.					Morton, Douglas/D-5044-2012; Cook, Bruce/M-4828-2013; Pattison, Robert/KFQ-2053-2024														1748-9326					JUN	2017	12	6							065004	10.1088/1748-9326/aa6ade	http://dx.doi.org/10.1088/1748-9326/aa6ade													WOS:000402551200004
J	Maimaitijiang, M; Sagan, V; Sidike, P; Daloye, AM; Erkbol, H; Fritschi, FB				Maimaitijiang, Maitiniyazi; Sagan, Vasit; Sidike, Paheding; Daloye, Ahmad M.; Erkbol, Hasanjan; Fritschi, Felix B.			Crop Monitoring Using Satellite/UAV Data Fusion and Machine Learning	REMOTE SENSING												Non-destructive crop monitoring over large areas with high efficiency is of great significance in precision agriculture and plant phenotyping, as well as decision making with regards to grain policy and food security. The goal of this research was to assess the potential of combining canopy spectral information with canopy structure features for crop monitoring using satellite/unmanned aerial vehicle (UAV) data fusion and machine learning. Worldview-2/3 satellite data were tasked synchronized with high-resolution RGB image collection using an inexpensive unmanned aerial vehicle (UAV) at a heterogeneous soybean (Glycine max (L.) Merr.) field. Canopy spectral information (i.e., vegetation indices) was extracted from Worldview-2/3 data, and canopy structure information (i.e., canopy height and canopy cover) was derived from UAV RGB imagery. Canopy spectral and structure information and their combination were used to predict soybean leaf area index (LAI), aboveground biomass (AGB), and leaf nitrogen concentration (N) using partial least squares regression (PLSR), random forest regression (RFR), support vector regression (SVR), and extreme learning regression (ELR) with a newly proposed activation function. The results revealed that: (1) UAV imagery-derived high-resolution and detailed canopy structure features, canopy height, and canopy coverage were significant indicators for crop growth monitoring, (2) integration of satellite imagery-based rich canopy spectral information with UAV-derived canopy structural features using machine learning improved soybean AGB, LAI, and leaf N estimation on using satellite or UAV data alone, (3) adding canopy structure information to spectral features reduced background soil effect and asymptotic saturation issue to some extent and led to better model performance, (4) the ELR model with the newly proposed activated function slightly outperformed PLSR, RFR, and SVR in the prediction of AGB and LAI, while RFR provided the best result for N estimation. This study introduced opportunities and limitations of satellite/UAV data fusion using machine learning in the context of crop monitoring.					; Paheding, Sidike/O-5094-2019	Maimaitijiang, Maitiniyazi/0000-0001-6153-1583; Sagan, Vasit/0000-0003-4375-2096														2072-4292				MAY	2020	12	9							1357	10.3390/rs12091357	http://dx.doi.org/10.3390/rs12091357													WOS:000543394000004
J	Li, W; Niu, Z; Liang, XL; Li, ZY; Huang, N; Gao, S; Wang, C; Muhammad, S				Li, Wang; Niu, Zheng; Liang, Xinlian; Li, Zengyuan; Huang, Ni; Gao, Shuai; Wang, Cheng; Muhammad, Shakir			Geostatistical modeling using LiDAR-derived prior knowledge with SPOT-6 data to estimate temperate forest canopy cover and above-ground biomass via stratified random sampling	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												Forest canopy cover (CC) and above-ground biomass (AGB) are important ecological indicators for forest monitoring and geoscience applications. This study aimed to estimate temperate forest CC and AGB by integrating airborne LiDAR data with wall-to-wall space-borne SPOT-6 data through geostatistical modeling. Our study involved the following approach: (1) reference maps of CC and AGB were derived from wall-to-wall LiDAR data and calibrated by field measurements; (2) twelve discrete LiDAR flights were simulated by assuming that LiDAR data were only available beneath these flights; (3) training/testing samples of CC and AGB were extracted from the reference maps inside and outside the simulated flights using stratified random sampling; (4) The simple linear regression, ordinary kriging and regression kriging model were used to extend the sparsely sampled CC/AGB data to the entire study area by incorporating a selection of SPOT-6 variables, including vegetation indices and texture variables. The regression kriging model was superior at estimating and mapping the spatial distribution of CC and AGB, as it featured the lowest mean absolute error (MAE; 11.295% and 18.929 t/ha for CC and AGB, respectively) and root mean squared error (RMSE; 17.361% and 21.351 t/ha for CC and AGB, respectively). The predicted and reference values of both CC and AGB were highly correlated for the entire study area based on the estimation histograms and error maps. Finally, we concluded that the regression kriging model was superior and more effective at estimating LiDAR-derived CC and AGB values using the spatially-reduced samples and the SPOT-6 variables. The presented modeling workflow will greatly facilitate future forest growth monitoring and carbon stock assessments for large areas of temperate forest in northeast China. It also provides guidance on how to take full advantage of future sparsely collected LiDAR data in cases where wall-to-wall LiDAR coverage is not available from the perspective of geostatistics. (C) 2015 Elsevier B.V. All rights reserved.					Shakir, Muhammad/X-5919-2019; Wang, Chengyi/AAZ-2450-2021; Liang, Xinlian/S-7209-2019; Li, Wang/ABC-2320-2021; niu, zheng/M-9923-2017	Liang, Xinlian/0000-0002-1585-2340; Li, Wang/0000-0003-1330-2019; 													0303-2434					SEP	2015	41						88	98		10.1016/j.jag.2015.04.020	http://dx.doi.org/10.1016/j.jag.2015.04.020													WOS:000356996500008
J	Drake, JB; Dubayah, RO; Clark, DB; Knox, RG; Blair, JB; Hofton, MA; Chazdon, RL; Weishampel, JF; Prince, SD				Drake, JB; Dubayah, RO; Clark, DB; Knox, RG; Blair, JB; Hofton, MA; Chazdon, RL; Weishampel, JF; Prince, SD			Estimation of tropical forest structural characteristics using large-footprint lidar	REMOTE SENSING OF ENVIRONMENT												Quantification of forest structure is important for developing a better understanding of how forest ecosystems function. Additionally, estimation of forest structural attributes, such as aboveground biomass (AGBM), is an important step in identifying the amount of carbon in terrestrial vegetation pools and is central to global carbon cycle studies. Although current remote sensing techniques recover such tropical forest structure poorly, new large-footprint lidar instruments show great promise. As part of a prelaunch validation plan for the Vegetation Canopy Lidar (VCL) mission, the Laser Vegetation Imaging Sensor (LVIS), a large-footprint airborne scanning lidar, was flown over the La Selva Biological Station, a tropical wet forest site in Costa Rica. The primary objective of this study was to test the ability of large-footprint lidar instruments to recover forest structural characteristics across a spectrum of land cover types from pasture to secondary and primary tropical forests. LVIS metrics were able to predict field-derived quadratic mean stem diameter (QMSD), basal area, and AGBM with R 2 values of up to .93,.72, and .93, respectively. These relationships were significant and nonasymptotic through the entire range of conditions sampled at the La Selva. Our results confirm the ability of large-footprint lidar instruments. to estimate. important structural attributes, including biomass in dense tropical forests, and when taken along with similar results from studies in temperate forests, strongly validate the VCL mission framework. (C) 2002 Elsevier Science Inc. All rights reserved.					Knox, Robert/E-9657-2011; Hofton, Michelle/A-1186-2019; Chazdon, Robin/O-9766-2018; Blair, James/D-3881-2013; Weishampel, John/ISU-6122-2023	Chazdon, Robin/0000-0002-7349-5687; ake, Jason/0000-0002-4874-3108; 													0034-4257	1879-0704				FEB	2002	79	2-3					305	319		10.1016/S0034-4257(01)00281-4	http://dx.doi.org/10.1016/S0034-4257(01)00281-4													WOS:000173230400014
J	Zhou, XC; Wang, WJ; Di, LP; Lu, L; Guo, LY				Zhou, Xiaocheng; Wang, Wenjun; Di, Liping; Lu, Lin; Guo, Liying			Estimation of Tree Height by Combining Low Density Airborne LiDAR Data and Images Using the 3D Tree Model: A Case Study in a Subtropical Forest in China	FORESTS												In general, low density airborne LiDAR (Light Detection and Ranging) data are typically used to obtain the average height of forest trees. If the data could be used to obtain the tree height at the single tree level, it would greatly extend the usage of the data. Since the tree top position is often missed by the low density LiDAR pulse point, the estimated forest tree height at the single tree level is generally lower than the actual tree height when low density LiDAR data are used for the estimation. To resolve this problem, in this paper, a modified approach based on three-dimensional (3D) parameter tree model was adopted to reconstruct the tree height at the single tree level by combining the characteristics of high resolution remote sensing images and low density airborne LiDAR data. The approach was applied to two coniferous forest plots in the subtropical forest region, Fujian Province, China. The following conclusions were reached after analyzing the results: The marker-controlled watershed segmentation method is able to effectively extract the crown profile from sub meter-level resolution images without the aid of the height information of LiDAR data. The adaptive local maximum method satisfies the need for detecting the vertex of a single tree crown. The improved following-valley approach is available for estimating the tree crown diameter. The 3D parameter tree model, which can take advantage of low-density airborne LiDAR data and high resolution images, is feasible for improving the estimation accuracy of the tree height. Compared to the tree height results from only using the low density LiDAR data, this approach can achieve higher estimation accuracy. The accuracy of the tree height estimation at the single tree level for two test areas was more than 80%, and the average estimation error of the tree height was 0.7 m. The modified approach based on the three-dimensional parameter tree model can effectively increase the estimation accuracy of individual tree height by combining the characteristics of high resolution remote sensing images and low density airborne LiDAR data.					LU, Lin/A-6831-2013; Wang, Junfeng/V-2678-2019; Guo, Liying/AAX-4416-2020	GUO, Liying/0000-0001-9684-0204														1999-4907				DEC	2020	11	12							1252	10.3390/f11121252	http://dx.doi.org/10.3390/f11121252													WOS:000602186000001
